region,date,mean,median,lower_90,upper_90,lower_50,upper_50
CR,2020-05-11,1.2072129808392698,1.1766683550194403,0.863212971293325,1.5442688640476518,1.06739046775583,1.3182624749802963
CR,2020-05-12,1.2079555649728213,1.1830953609898454,0.8719027454830776,1.567106002365935,1.0374949666086337,1.2918809758216816
CR,2020-05-13,1.2116137496738801,1.1871180291495862,0.868482891141922,1.5578704625926552,1.0500750546033975,1.3131587643373186
CR,2020-05-14,1.2145849956868442,1.1877622544376445,0.8811823856461741,1.5812334514608901,1.0396807450029553,1.2888128888711725
CR,2020-05-15,1.212837372822223,1.189500376754415,0.9104544109249226,1.617892403261778,1.032942927924881,1.2865519891052437
CR,2020-05-16,1.2148015559665832,1.1954536888030702,0.894832630571742,1.579815106026139,1.0227042529463002,1.277802776865642
CR,2020-05-17,1.2149754410702729,1.190265797131301,0.9023251677105646,1.5863466289071555,1.0542789792639407,1.304153030149704
CR,2020-05-18,1.2180276024856513,1.2017892412278037,0.9007704727266008,1.5877082357902386,1.0947629303114021,1.3410425731164173
CR,2020-05-19,1.2197266228241777,1.2031903371886086,0.9060133166058997,1.608576531969613,1.044033889532289,1.2869368995037755
CR,2020-05-20,1.219580189059396,1.2047224929389333,0.8791883435835647,1.5706179088687864,1.049784062205635,1.2967143854656
CR,2020-05-21,1.2216617684540134,1.208621014014315,0.8825935233650906,1.5580420984399024,1.051383590083143,1.2932624945599347
CR,2020-05-22,1.2227055084897804,1.205735947352295,0.9132959505043674,1.5768619121925502,1.0486676350345745,1.2874942713634796
CR,2020-05-23,1.2274142154697627,1.209211402696607,0.948165792146809,1.6365620212334744,1.0617324427311416,1.3050711655234584
CR,2020-05-24,1.2284276458140464,1.2045291088565055,0.9055599876883973,1.5935601959964791,1.0386320237037179,1.2833642352042438
CR,2020-05-25,1.2268000429974852,1.206105341037718,0.9105400425510334,1.5921880406033513,1.063377602423229,1.3067701734535442
CR,2020-05-26,1.2280005178469897,1.207098898696764,0.9065443391927043,1.5700536631238342,1.0383586308082704,1.2825953763675972
CR,2020-05-27,1.2245735385215042,1.2019853761981296,0.9133940444795233,1.5806158716117937,1.058736121083582,1.3033349710783049
CR,2020-05-28,1.224079599653382,1.2009001445249439,0.9145007115902721,1.598139393401155,1.082711385879894,1.3323134068005413
CR,2020-05-29,1.223471658067484,1.2010716037668587,0.8865208868830854,1.5892141470914316,1.0298991435135814,1.2802976927638379
CR,2020-05-30,1.2226936231435337,1.1991083814004329,0.8817806201680772,1.6032479643628395,1.0524910043173825,1.2971940445570473
CR,2020-05-31,1.2221932934950737,1.1959068780412379,0.8965038859751505,1.6335531132310264,1.0405059610353595,1.2955522012101652
CR,2020-06-01,1.2240255150525587,1.1957697098247975,0.7973037298573781,1.5607336229894755,1.033590704446874,1.2832087417320155
CR,2020-06-02,1.226040473086929,1.2042884843218702,0.8660224685127158,1.6185565140167453,1.0538775625703318,1.3101335059205141
CR,2020-06-03,1.2196576826004022,1.1916237062375818,0.8493732118263939,1.6206668200353995,1.046612175299128,1.3189537809059784
CR,2020-06-04,1.2236884400155563,1.1948696124559743,0.8537348884659334,1.634033375495803,1.0733348848690258,1.3455153687153372
CR,2020-06-05,1.2271913268879577,1.1971181988439419,0.8393053665790898,1.6592407336478217,1.0643157944537087,1.336517999911862
CR,2020-06-06,1.227050228253994,1.189995783998416,0.8426966453101508,1.6691973839304177,1.047767925701872,1.3280900779548719
CR,2020-06-07,1.2246490326281092,1.1912419071772224,0.809435517726442,1.685455855430519,1.037258173220671,1.32583071173659
GT,2020-04-20,1.2145792265258035,1.1878372380898745,1.0074949901724677,1.466605600383379,1.0690344413127102,1.2365667360491337
GT,2020-04-21,1.2136834408883812,1.1863299141126638,0.9743376072314459,1.425625907706467,1.0671949703166328,1.2290383053430098
GT,2020-04-22,1.2131498781739207,1.1851684091296626,0.9845074285571525,1.430596752278696,1.0770833828729838,1.2395070568492208
GT,2020-04-23,1.2137504275313433,1.1880371314512717,0.9984642569233944,1.4169126096757454,1.0595620137306077,1.2192046461212196
GT,2020-04-24,1.21366860272469,1.187844910328633,0.9862950746483621,1.4150713805526447,1.0633767953476463,1.222094920488074
GT,2020-04-25,1.2154928365237336,1.1907575511790776,1.0174069497479168,1.4456990811896473,1.0700417541103775,1.2273261802312518
